Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.06,Copper,82.4,Carbon Steel,15.7,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,20.41,FR4 Composite,46.8,Copper,30.0,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,290.34,Epoxy Resin,75.9,Polyester Resin,23.7,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1089.3,Electrical Steel,93.4,Silicon Steel,2.0,34.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,89.4,Carbon Steel,89.1,Stainless Steel,5.1,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,367.67,Copper,84.5,Epoxy Resin,10.0,30.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.78,Copper,80.4,Carbon Steel,15.5,19.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,356.51,Copper,85.7,Epoxy Resin,11.8,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,256.4,Silicone Resin,70.6,Polyester Resin,20.9,17.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,99.78,Carbon Steel,89.0,Stainless Steel,5.4,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,20.06,FR4 Composite,45.9,Copper,28.5,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1063.91,Electrical Steel,97.7,Silicon Steel,2.1,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.9,Aluminum Alloy,79.3,Carbon Steel,11.8,16.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.34,Aluminum Alloy,79.5,Carbon Steel,11.8,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.67,Carbon Steel,91.4,Stainless Steel,5.3,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,24.25,FR4 Composite,46.8,Copper,32.5,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1005.87,Electrical Steel,97.8,Silicon Steel,1.9,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,380.45,Copper,92.1,Epoxy Resin,10.5,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,272.71,Epoxy Resin,76.0,Polyester Resin,24.0,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,365.7,Copper,85.9,Epoxy Resin,10.8,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.02,Copper,73.9,Carbon Steel,15.2,23.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,1075.73,Electrical Steel,94.9,Silicon Steel,1.9,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.7,Copper,79.1,Carbon Steel,14.8,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,257.3,Epoxy Resin,69.4,Polyester Resin,22.9,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,98.35,Carbon Steel,89.8,Stainless Steel,4.8,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,329.27,Copper,93.3,Epoxy Resin,10.9,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,387.31,Copper,91.5,Epoxy Resin,11.8,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.34,Aluminum Alloy,83.2,Carbon Steel,12.4,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,20.94,FR4 Composite,42.3,Copper,31.7,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,369.67,Copper,90.3,Epoxy Resin,9.5,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.78,Aluminum Alloy,83.9,Carbon Steel,12.7,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,96.82,Carbon Steel,86.5,Stainless Steel,5.2,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,33.9,Copper,78.5,Carbon Steel,14.8,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,384.09,Copper,91.2,Epoxy Resin,11.1,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1076.97,Electrical Steel,93.6,Silicon Steel,1.9,34.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,20.68,FR4 Composite,47.2,Copper,28.4,10.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,275.86,Epoxy Resin,75.3,Polyester Resin,21.6,17.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,381.76,Copper,85.2,Epoxy Resin,11.9,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,89.79,Carbon Steel,89.4,Stainless Steel,5.3,34.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,357.14,Copper,85.1,Epoxy Resin,10.6,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,255.09,Epoxy Resin,69.6,Polyester Resin,20.1,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1040.2,Electrical Steel,99.0,Silicon Steel,1.9,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.85,Aluminum Alloy,80.3,Carbon Steel,12.9,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,19.93,FR4 Composite,47.5,Copper,28.7,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.1,Copper,76.3,Carbon Steel,15.3,19.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,92.74,Carbon Steel,87.3,Stainless Steel,5.1,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,992.77,Electrical Steel,99.0,Silicon Steel,1.9,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,21.58,FR4 Composite,43.9,Copper,28.0,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.4,Aluminum Alloy,83.9,Carbon Steel,12.2,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.89,Phosphor Bronze,71.9,Carbon Steel,15.8,19.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,381.15,Copper,88.8,Epoxy Resin,11.0,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,371.8,Copper,89.7,Epoxy Resin,9.6,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,260.79,Epoxy Resin,75.9,Polyester Resin,21.0,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.83,Copper,81.6,Carbon Steel,15.2,19.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,388.27,Copper,83.3,Epoxy Resin,11.4,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,284.78,Epoxy Resin,74.4,Polyester Resin,20.9,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.86,Aluminum Alloy,80.6,Carbon Steel,12.9,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,993.91,Electrical Steel,98.4,Silicon Steel,2.0,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,354.73,Copper,91.3,Epoxy Resin,10.7,29.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,94.34,Carbon Steel,88.2,Stainless Steel,5.3,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,21.92,FR4 Composite,43.8,Copper,31.5,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,91.43,Carbon Steel,92.4,Stainless Steel,4.7,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1026.08,Electrical Steel,92.9,Silicon Steel,2.0,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.25,Aluminum Alloy,79.2,Carbon Steel,12.9,16.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,324.42,Copper,89.8,Epoxy Resin,10.8,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,266.06,Epoxy Resin,75.1,Polyester Resin,23.8,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,339.8,Copper,89.1,Epoxy Resin,9.5,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.87,Phosphor Bronze,75.2,Carbon Steel,15.8,23.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,24.15,FR4 Composite,47.6,Copper,30.2,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.51,6101 Aluminum,76.7,Carbon Steel,11.9,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.8,Copper,82.2,Carbon Steel,14.8,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,256.6,Epoxy Resin,68.1,Polyester Resin,23.8,17.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,983.91,Electrical Steel,92.6,Silicon Steel,1.8,34.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,332.24,Copper,84.3,Epoxy Resin,10.9,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,367.62,Copper,85.4,Epoxy Resin,9.8,30.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,21.0,FR4 Composite,46.5,Copper,28.2,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,93.34,Carbon Steel,92.8,Stainless Steel,5.4,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,101.44,Carbon Steel,93.1,Stainless Steel,4.7,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,360.43,Copper,87.2,Epoxy Resin,9.8,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,292.39,Epoxy Resin,74.8,Polyester Resin,20.4,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,23.23,FR4 Composite,46.1,Copper,29.7,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,37.86,Copper,80.9,Carbon Steel,15.1,19.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,383.81,Copper,84.6,Epoxy Resin,11.7,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.33,Aluminum Alloy,77.5,Carbon Steel,11.9,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,1062.53,High-Grade Silicon Steel,92.9,Silicon Steel,1.9,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,23.01,FR4 Composite,44.9,Copper,31.4,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,256.47,Epoxy Resin,74.5,Polyester Resin,20.4,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,362.23,Copper,87.9,Epoxy Resin,10.9,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,343.51,Copper,86.2,Epoxy Resin,10.4,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.11,Aluminum Alloy,77.0,Carbon Steel,11.2,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,97.99,Carbon Steel,88.9,Stainless Steel,5.0,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,976.32,Electrical Steel,95.4,Silicon Steel,1.9,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.11,Copper,73.5,Carbon Steel,15.1,24.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,327.7,Copper,86.4,Epoxy Resin,10.4,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,959.18,Electrical Steel,99.0,Silicon Steel,2.0,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,34.53,Cu-ETP Copper,82.5,Carbon Steel,16.2,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,22.63,FR4 Composite,44.5,Copper,30.5,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,366.37,Copper,92.3,Epoxy Resin,9.6,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,250.52,Epoxy Resin,68.2,Polyester Resin,23.8,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,91.54,Carbon Steel,89.4,Stainless Steel,4.6,31.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.91,Aluminum Alloy,79.1,Carbon Steel,12.4,12.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,1043.02,Electrical Steel,99.0,Silicon Steel,2.0,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.23,Aluminum Alloy,80.4,Carbon Steel,12.3,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,99.31,Fabricated Steel,92.6,Stainless Steel,5.1,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,352.98,Copper,86.7,Epoxy Resin,10.6,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,24.06,FR4 Composite,44.7,Copper,30.5,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.46,Copper,73.6,Carbon Steel,14.3,23.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,285.62,Epoxy Resin,67.9,Polyester Resin,23.0,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,355.84,Copper,84.6,Epoxy Resin,10.0,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,21.1,FR4 Composite,45.9,Copper,31.9,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.67,Carbon Steel,96.9,Stainless Steel,5.3,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.71,Aluminum Alloy,78.3,Carbon Steel,13.0,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,353.75,Copper,89.7,Epoxy Resin,10.1,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1057.13,Electrical Steel,99.0,Silicon Steel,2.0,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,374.27,Copper,91.5,Epoxy Resin,10.9,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,35.14,Copper,79.0,Carbon Steel,14.3,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,290.07,Epoxy Resin,68.5,Polyester Resin,23.9,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,21.77,FR4 Composite,44.9,Copper,29.8,10.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,34.96,Copper,78.9,Carbon Steel,15.7,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,1061.09,Electrical Steel,99.0,Silicon Steel,1.9,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.48,6101 Aluminum,80.6,Carbon Steel,12.2,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,378.93,Copper,87.8,Epoxy Resin,9.7,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,257.31,Epoxy Resin,75.2,Polyester Resin,23.9,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,358.05,Copper,86.1,Epoxy Resin,10.6,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,97.02,Carbon Steel,97.4,Stainless Steel,5.3,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.93,Aluminum Alloy,83.9,Carbon Steel,11.0,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,343.08,Copper,82.6,Epoxy Resin,11.6,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,97.32,Carbon Steel,87.4,Stainless Steel,4.8,30.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1018.28,Electrical Steel,99.0,Silicon Steel,2.1,30.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,259.67,Epoxy Resin,69.7,Polyester Resin,22.7,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,374.68,Copper,93.1,Epoxy Resin,10.5,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.53,Copper,76.1,Carbon Steel,13.7,16.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,21.54,FR4 Composite,44.6,Copper,28.6,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,369.93,Copper,88.9,Epoxy Resin,9.5,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,259.68,Epoxy Resin,75.4,Polyester Resin,21.9,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,24.44,PC/ABS Blend,44.0,Copper,28.9,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1070.46,Electrical Steel,95.7,Silicon Steel,2.2,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.6,Aluminum Alloy,78.6,Carbon Steel,11.6,12.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,41.05,Copper,77.0,Carbon Steel,13.7,22.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,383.96,Copper,91.3,Epoxy Resin,11.5,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,91.26,Carbon Steel,89.0,Stainless Steel,5.3,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,98.09,Carbon Steel,91.3,Stainless Steel,5.1,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,967.47,Electrical Steel,99.0,Silicon Steel,1.9,30.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,23.74,FR4 Composite,45.2,Copper,32.2,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,377.75,Copper,87.8,Epoxy Resin,10.6,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,292.67,Epoxy Resin,76.0,Polyester Resin,20.6,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,381.93,Copper,92.0,Epoxy Resin,11.9,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,37.62,Copper,73.5,Carbon Steel,15.1,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.32,Aluminum Alloy,80.8,Carbon Steel,12.7,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,1048.71,Electrical Steel,99.0,Silicon Steel,2.0,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,395.71,Copper,82.3,Epoxy Resin,10.1,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.92,Copper,78.4,Carbon Steel,14.7,24.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,23.2,FR4 Composite,45.2,Copper,30.5,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,291.34,Epoxy Resin,74.9,Polyester Resin,22.5,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,91.49,Carbon Steel,88.9,Stainless Steel,5.0,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.43,Aluminum Alloy,78.7,Carbon Steel,12.9,12.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,383.34,Copper,92.9,Epoxy Resin,10.8,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,34.39,Copper,74.5,Carbon Steel,15.2,22.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,347.66,Copper,84.0,Epoxy Resin,11.7,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,334.42,Copper,82.7,Epoxy Resin,10.6,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,952.28,Electrical Steel,94.2,Silicon Steel,2.1,24.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,254.17,Epoxy Resin,69.7,Polyester Resin,21.3,16.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.93,Aluminum Alloy,80.3,Carbon Steel,12.5,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,100.92,Carbon Steel,87.7,Stainless Steel,5.0,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,21.78,FR4 Composite,47.0,Copper,30.1,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,251.83,Silicone Resin,68.8,Polyester Resin,20.6,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,367.01,Copper,90.2,Epoxy Resin,9.8,23.0,Chemically Bonded / Cast,2.0
